0.00622497,0.00503694,0.000716605,0.0560428,
0.00629329,0.00576715,0.0113651,0.326169,
0.0116,0.00673012,0.0115414,1.06922,
0.0233445,0.00886633,0.0120953,2.19707,
0.036173,0.0110892,0.0125251,3.5293,
0.0594566,0.0166399,0.0165857,5.48332,
0.061655,0.0204669,0.0168291,7.55228,
0.0813996,0.0254961,0.0175416,9.90955,
0.106541,0.0306768,0.0180444,12.8607,
0.135604,0.0364336,0.0149174,16.2401,
0.169402,0.0433894,0.0191088,20.0398,
0.20141,0.0508423,0.0193383,23.8079,
0.234827,0.0618404,0.0204287,27.8443,
0.28019,0.0689574,0.0168501,33.1929,
0.32856,0.0806792,0.0216851,38.3743,
0.374434,0.0928937,0.0222757,43.9048,
0.417257,0.104483,0.0212515,49.3439,
0.480027,0.121034,0.0231405,55.393,
0.528126,0.134165,0.0231523,61.9952,
0.594118,0.146181,0.0199469,69.0465,
0.664875,0.16711,0.0250457,76.7858,
0.722149,0.179969,0.0212766,83.9587,
0.800356,0.20338,0.0222857,92.2294,
0.88853,0.223759,0.022871,100.642,
0.939005,0.255007,0.0275445,109.217,
1.04211,0.266975,0.0279671,119.184,
1.14376,0.284626,0.0295592,128.919,
1.21607,0.314139,0.0289721,138.072,
1.36168,0.333862,0.0298354,148.014,
1.43678,0.369157,0.0277965,158.344,
